Car_name,Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
Genesis GV60 Sport,74,195,990,63200,380,200,5.5
Porsche Taycan 4S Cross Turismo,83.7,190,1080,119914,440,240,4.1
VinFast VF 8 Plus Extended Range,87.7,206,550,58890,425,200,5.5
Porsche Taycan Sport Turismo,71,187,930,94091,380,230,5.4
Mercedes EQV 250 Long,60,286,200,68056,210,160,12
Mercedes EQV 300 Extra-Long,90,290,310,72519,310,160,12.1
Mercedes eVito Tourer Long 60 kWh,60,286,310,60678,210,160,12
Abarth 500e Convertible,37.8,168,370,40990,225,155,7
Genesis GV60 Sport Plus,74,203,950,73100,365,235,4
Mini Cooper SE Convertible,28.9,175,230,NA,165,150,8.2
Citroen e-SpaceTourer M 75 kWh,68,257,290,59640,265,130,13.3
NIO EL7 75 kWh,70.5,207,460,85900,340,200,3.9
Peugeot e-Traveller Standard 75 kWh,68,257,290,59640,265,130,14.3
Peugeot e-Traveller Standard 50 kWh,46.3,250,290,53640,185,130,13.1
Porsche Taycan GTS Sport Turismo,83.7,197,1050,140858,425,250,3.7
Porsche Taycan Turbo Cross Turismo,83.7,197,1050,165848,425,250,3.3
Peugeot e-Expert Combi Long 75 kWh,68,262,280,58730,260,130,14.3
Fiat E-Ulysse L3 75 kWh,68,262,280,62990,260,130,13.3
Citroen e-SpaceTourer XL 50 kWh,46.3,257,290,54430,180,130,12.1
Porsche Taycan Turbo S Cross Turismo,83.7,204,1010,199168,410,250,2.9
Citroen e-Berlingo XL 50 kWh,46.3,226,330,43640,205,135,11.7
Fiat 500e Cabrio 24 kWh,21.3,158,230,35490,135,135,9
Porsche Taycan Plus Sport Turismo,83.7,188,1090,99815,445,230,5.4
Toyota PROACE Shuttle M 75 kWh,68,257,290,NA,265,130,13.1
Toyota PROACE Shuttle L 50 kWh,46.3,257,290,NA,180,130,12.1
Porsche Taycan Turbo S Sport Turismo,83.7,212,970,198692,395,260,2.8
Citroen e-SpaceTourer XL 75 kWh,68,262,280,60430,260,130,13.3
Citroen e-Jumpy Combi M 50 kWh,46.3,250,290,51940,185,130,12.1
Opel Zafira-e Life M 50 kWh,46.3,250,290,63250,185,130,12.1
Toyota PROACE Shuttle L 75 kWh,68,262,280,NA,260,130,13.1
Citroen e-Jumpy Combi XL 75 kWh,68,262,280,58730,260,130,13.3
Porsche Taycan 4S Plus Sport Turismo,83.7,195,1060,120081,430,250,4
Opel Combo-e Life XL 50 kWh,46.3,232,320,44750,200,135,11.7
Toyota PROACE Shuttle M 50 kWh,46.3,250,290,NA,185,130,12.1
Porsche Taycan 4S Sport Turismo,71,192,910,114559,370,250,4
Peugeot e-Expert Combi Standard 50 kWh,46.3,250,290,51940,185,130,13.1
Mercedes eVito Tourer Extra-Long 60 kWh,60,293,300,61571,205,160,12
Peugeot e-Traveller Long 50 kWh,46.3,250,290,54430,185,130,13.1
Fiat E-Ulysse L2 75 kWh,68,257,290,61990,265,130,13.3
Porsche Taycan Turbo Sport Turismo,83.7,207,1000,165372,405,260,3.2
Mercedes EQV 250 Extra-Long,60,286,200,68949,210,160,12
Opel Vivaro-e Combi L 75 kWh,68,262,280,57775,260,130,13.3
Opel Vivaro-e Combi M 50 kWh,46.3,250,290,50992,185,130,12.1
Opel Zafira-e Life L 50 kWh,46.3,257,290,64075,180,130,12.1
Peugeot e-Expert Combi Long 50 kWh,46.3,250,290,52730,185,130,13.1
Citroen e-Jumpy Combi XL 50 kWh,46.3,257,290,52730,180,130,12.1
Fiat E-Ulysse L2 50 kWh,46.3,250,290,55990,185,130,12.1
Opel Vivaro-e Combi L 50 kWh,46.3,257,290,51825,180,130,12.1
Opel Zafira-e Life M 75 kWh,68,257,290,69250,265,130,13.3
Fiat E-Ulysse L3 50 kWh,46.3,257,290,56990,180,130,12.1
